Squadra,Punti,Giocate,Vinte,Nulle,Perse,RetiFatte,RetiSubite,VinteCasa,NulleCasa,PerseCasa,RetiFatteCasa,RetiSubiteCasa,VinteFuori,NulleFuori,PerseFuori,RetiFatteCasa,RetiSubiteFuori
Juventus,91,38,29,4,5,75,20,16,2,1,37,6,13,2,4,38,14
Napoli,82,38,25,7,6,80,32,16,3,0,49,12,9,4,6,31,20
Roma,80,38,23,11,4,83,41,13,5,1,44,17,10,6,3,39,24
Inter,67,38,20,7,11,50,38,13,2,4,29,15,7,5,7,21,23
Fiorentina,64,38,18,10,10,60,42,11,5,3,34,16,7,5,7,26,26
Sassuolo,61,38,16,13,9,49,40,8,8,3,25,20,8,5,6,24,20
Milan,57,38,15,12,11,49,43,9,6,4,28,22,6,6,7,21,21
Lazio,54,38,15,9,14,52,52,10,3,6,32,23,5,6,8,20,29
Chievo,50,38,13,11,14,43,45,7,8,4,25,18,6,3,10,18,27
Genoa,46,38,13,7,18,45,48,10,3,6,29,19,3,4,12,16,29
Empoli,46,38,12,10,16,40,49,7,6,6,22,20,5,4,10,18,29
Torino,45,38,12,9,17,52,55,6,6,7,25,25,6,3,10,27,30
Atalanta,45,38,11,12,15,41,47,8,6,5,27,21,3,6,10,14,26
Bologna,42,38,11,9,18,33,45,5,5,9,20,21,6,4,9,13,24
Sampdoria,40,38,10,10,18,48,61,8,4,7,29,25,2,6,11,19,36
Palermo,39,38,10,9,19,38,65,6,4,9,24,30,4,5,10,14,35
Udinese,39,38,10,9,19,35,60,6,4,9,18,28,4,5,10,17,32
Carpi,38,38,9,11,18,37,57,6,5,8,23,26,3,6,10,14,31
Frosinone,31,38,8,7,23,35,76,6,4,9,18,26,2,3,14,17,50
Verona,28,38,5,13,20,34,63,4,6,9,21,30,1,7,11,13,33
